0,0
21,33
0,1,19,33
13,4
-1,33,32,33,32,33,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,32,33,70,-1,-1
-1,32,33,32,33,32,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,32,69,-1,-1
-1,33,32,33,32,33,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,32,33,70,-1,-1
-1,32,33,32,33,32,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,32,69,-1,-1
-1,33,32,33,32,33,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,32,33,70,-1,-1
-1,32,33,32,33,32,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,32,69,255,255
-1,33,32,33,32,33,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,32,33,70,-1,-1
-1,37,36,37,36,37,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,155,68,37,36,69,143,144
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,157,66,70,-1,67
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,152,-1,-1,-1,-1,-1,-1,-1,155,68,71,-1,66
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,154,-1,-1,-1,66
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,74,-1,72,74,-1,-1,-1,-1,-1,-1,-1,-1,139,67
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,69,158,67,70,-1,-1,-1,-1,-1,-1,-1,72,64,78
-1,64,65,64,65,64,65,64,65,64,74,-1,-1,-1,-1,-1,-1,-1,66,81,65,78,69,154,-1,-1,-1,-1,-1,-1,67,32,33
-1,32,33,32,33,32,33,32,33,32,70,-1,-1,-1,-1,-1,-1,155,67,32,33,32,70,154,-1,-1,-1,-1,-1,-1,66,33,32
-1,33,32,33,32,33,32,33,32,33,69,153,153,153,153,153,153,159,66,33,32,33,69,154,-1,-1,-1,-1,-1,-1,67,32,33
-1,32,33,32,33,32,33,32,33,32,81,64,65,64,64,65,64,65,78,32,33,32,70,154,-1,-1,-1,-1,-1,-1,66,33,32
-1,33,32,33,32,33,32,33,32,32,33,32,33,32,33,32,33,32,32,33,32,33,69,154,-1,-1,-1,-1,-1,-1,67,32,33
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,66,33,32
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,33,33,33,33,33,33,33,33,33
1
7,32,72,0,0,0,0,0
0
0
1
0,0,0
0
