0,30
16,23
0,0,16,23
6,1
70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255
70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255
70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,153,-1,-1,155,72,64,65
70,-1,-1,-1,-1,-1,-1,153,-1,-1,-1,-1,76,158,-1,-1,76,-1,-1,-1,67,32,33
69,143,144,64,65,74,-1,76,-1,76,-1,72,84,74,-1,72,84,74,158,155,66,33,32
70,-1,67,32,33,81,65,84,64,84,65,78,33,81,64,78,33,81,74,159,67,32,33
71,-1,66,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,81,64,78,33,32
-1,-1,67,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33
-1,-1,66,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32
-1,-1,67,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33
-1,-1,78,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32
-1,-1,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33
-1,-1,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32
1
7,2,72,0,0,0,0,0
0
0
1
0,0,0
0
