1,27
21,39
0,0,19,39
7,2
32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32
33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33
32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32
33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33
32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32
37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
-1,-1,-1,-1,-1,-1,-1,-1,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,152,152,152
-1,-1,-1,-1,-1,-1,-1,128,-1,-1,-1,-1,-1,153,-1,-1,-1,-1,-1,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,-1
65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,65,64,65,64,65
33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,32,33,32,33
32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,32,33,32,33,32
33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,32,33,32,33
32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,32,33,32,33,32
33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,32,33,32,33
32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,32,33,32,33,32
33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,32,33,32,33
32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,32,33,32,33,32
33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,32,33,32,33
32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,32,33,32,33,32
33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,32,33,32,33
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,36,37,36,37,36,37,36,37,36,37,36,37,-1,-1,-1,-1,-1,-1
5
6,12,133,0,0,4,5,0
7,12,133,0,0,4,5,0
6,14,133,0,0,4,5,0
7,14,133,0,0,4,5,0
9,29,142,9,29,9,32,2
0
0
1
0,0,0
0
