4,43
44,31
0,0,44,31
6,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,33,32,33
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,32,33,32
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,33,32,33
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,32,33,32
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,33,32,33
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,32,33,32
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,33,32,33
72,64,65,64,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,32,33,32
33,32,33,32,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,33,32,33
32,33,32,33,69,-1,153,153,-1,-1,-1,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,67,32,33,32
33,32,33,32,70,154,73,75,154,-1,160,73,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,78,33,32,33
32,33,32,33,69,154,-1,-1,-1,-1,-1,-1,152,152,152,152,152,152,152,152,152,152,152,152,152,152,40,33,32,33,32
33,32,33,32,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,32,33,32,33
32,33,32,33,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,33,32,33,32
33,32,33,32,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,32,33,32,33
32,33,32,33,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,33,32,33,32
33,32,33,32,70,158,153,153,153,153,153,153,-1,-1,-1,153,153,153,153,153,153,153,153,153,-1,-1,67,32,33,32,33
32,33,32,33,81,65,64,65,64,65,64,75,-1,-1,73,65,64,65,64,65,64,65,64,75,154,-1,66,33,32,33,32
33,32,33,32,74,36,37,36,37,36,53,-1,-1,-1,-1,152,152,152,152,152,152,152,152,-1,-1,-1,67,32,33,32,33
32,33,32,33,70,156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,33,32,33,32
33,32,33,32,69,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,32,33,32,33
33,32,33,32,69,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,160,-1,67,32,33,32,33
32,33,32,33,70,158,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,-1,-1,-1,68,33,32,33,32
33,32,33,32,81,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,75,-1,-1,-1,-1,32,33,32,33
32,33,32,33,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,32,33,32
33,32,33,32,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,32,33,32,33
32,33,32,33,81,74,128,-1,153,153,153,-1,-1,-1,-1,-1,153,153,153,153,153,153,153,153,153,159,66,33,32,33,32
33,32,33,32,33,81,65,64,65,64,74,154,-1,-1,-1,155,72,64,65,64,65,64,65,64,65,64,78,32,33,32,33
32,33,32,33,70,36,37,36,37,36,71,154,-1,-1,-1,155,68,36,37,36,37,36,37,32,33,32,33,33,32,33,32
33,32,33,32,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,45,36,37,32,32,33,32,33
32,33,32,33,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,33,32,33,32
33,32,33,32,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,32,33,32,33
32,33,32,33,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,153,153,153,153,153,153,153,153,153,-1,-1,66,33,32,33,32
33,32,33,32,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,159,72,65,64,65,64,65,64,65,64,65,64,78,32,33,32,33
32,33,32,33,70,153,153,153,153,153,-1,-1,-1,155,72,78,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32
33,32,33,32,81,64,65,64,65,74,-1,-1,-1,155,68,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
